energy_link_1,time,energy_link_2,energy_link_3,energy_link_4,energy_link_5,energy_link_6
0.0010412229163685842,129.9228000020659,0.044812180924586685,0.023200244994680666,0.04142736477975872,0.05530951403827112,0.005674735608043502
0.000980305374891088,129.93280000206624,0.042641776747110324,0.022082889821132615,0.03920874746529551,0.052288897521195137,0.005364917594105945
0.0009112107639331219,129.94280000206658,0.04011695460753404,0.020776264702822518,0.03665715882436652,0.04882471188348962,0.0050095845051139655
0.0008483407702038563,129.9528000020669,0.03776022238319787,0.01956040156992065,0.03431198531949672,0.04564854617210313,0.0046837836386155185
0.000785277086045573,129.96280000206724,0.03533765138146449,0.01830980765682304,0.03193254979445899,0.04243410720433119,0.004354043374961948
0.0007281368952995062,129.97280000206757,0.03309067566540056,0.01715243730185481,0.02975586343572355,0.03950028839107681,0.004053079852184681
0.0006712324557100085,129.9828000020679,0.030806129963487576,0.0159743604538251,0.02756616046963942,0.036555351602739164,0.0037509649744903967
0.0006148359132464821,129.99280000206824,0.02849475308868139,0.014781257184677831,0.02537411320785926,0.03361365074329616,0.003449171448797672
0.0005672094524624485,130.00280000206857,0.026503897389498394,0.013756354641858409,0.02350853059214223,0.031114839717972,0.003192808451250045
0.0005136068380182085,130.0128000020689,0.024222138176060785,0.012576830444522076,0.02138647942404751,0.028278378063965503,0.0029017931901429996
0.0004645019386216165,130.02280000206923,0.022093483688457007,0.011476656472001828,0.019426080518923052,0.02566289364231423,0.0026334422513348337
0.0004179269336922151,130.03280000206956,0.02003702003138822,0.01041335335742964,0.01755017668813926,0.0231649527103604,0.0023771438094583046
0.00037450744213036297,130.0428000020699,0.018091444901777224,0.009406736880136305,0.015788575361695433,0.020822869018502492,0.002136831035306678
0.00033644616671852154,130.05280000207023,0.016357781581628962,0.008510155892522221,0.01423275710609898,0.018757858794325934,0.0019249426809480048
0.0002939076758196611,130.06280000207056,0.014396362739955607,0.007492592856782138,0.012480808435462877,0.016435811083589786,0.001686673575955617
0.00025810011570453085,130.0728000020709,0.012720759558749097,0.006623715004095379,0.010996076591718399,0.014470917867884344,0.00148504837406798
0.00022322011422737668,130.08280000207122,0.011070603517140842,0.005766843667201064,0.009541112764264578,0.012547734824259369,0.0012876991967649585
0.00019360012970081234,130.09280000207156,0.009651090748464878,0.005029793025176006,0.008297972708747593,0.01090675026976142,0.00111930480705774
0.00016394362259930452,130.1028000020719,0.008216498865235308,0.004283769205303782,0.007046640188359629,0.009256672811238605,0.0009499742455498696
0.00013405848220472062,130.11280000207222,0.00675561448641169,0.0035231593041713328,0.005778435084043485,0.007586265772662037,0.000778554211044784
0.00010933738744916302,130.12280000207255,0.0055355223823593735,0.002887774232255158,0.004724378543581385,0.0061993294104116334,0.0006362222831547846
8.757870472080605e-05,130.13280000207288,0.004452649621223708,0.00232353063341494,0.003792594729926868,0.004974380226311921,0.0005105122487432562
6.721141754447755e-05,130.14280000207322,0.003431790425772589,0.0017911802101147113,0.0029169963969605042,0.003824190399031398,0.00039247286874432506
4.9998272663820705e-05,130.15280000207355,0.0025630145643165568,0.001337951722930308,0.0021743291792308862,0.002849346484471409,0.0002924273984247222
4.3251603669668516e-05,130.16280000207388,0.0022237035357485775,0.001161059646723002,0.001883849174582294,0.002467902621604758,0.00025328118319876606
4.0670966098018806e-05,130.1728000020742,0.002096078581823982,0.001094686928485449,0.0017737793280587955,0.0023230949964255817,0.00023842057019310027
3.8234889992319696e-05,130.18280000207454,0.001975170933405962,0.0010317849361579192,0.0016696747984509042,0.00218618878954529,0.00022437073650736515
3.5955249105998894e-05,130.19280000207488,0.0018616307887584606,0.000972699053951188,0.0015720752172470162,0.002057885763567025,0.0002112037147813673
3.383512820326392e-05,130.2028000020752,0.0017556833236419041,0.0009175516306368946,0.0014811473497920587,0.001938396186247985,0.00019894109914875906
3.180405850115567e-05,130.21280000207554,0.0016538543912100467,0.0008645241601271073,0.0013938791744071216,0.001823757264376405,0.0001871762105981659
2.991518663254165e-05,130.22280000207587,0.0015588523465448663,0.0008150404242101,0.0013125851274790573,0.0017170029110640437,0.0001762204215728651
2.818798652651151e-05,130.2328000020762,0.001471716269183868,0.0007696494461046341,0.001238135458007529,0.0016192681773614585,0.000166190233200035
2.6453620173853287e-05,130.24280000207654,0.0013839597046719674,0.0007239010342688359,0.001163237898762244,0.0015209790772367244,0.00015610308755867756
2.5026406956727706e-05,130.25280000207687,0.001311539383414635,0.0006861714933840706,0.0011015424114839073,0.0014400371418012323,0.00014779621325511868
2.3399278366568458e-05,130.2628000020772,0.0012287442194429043,0.0006429701687918839,0.0010310473400940046,0.0013475836660292169,0.0001383078595442239
2.205429543281939e-05,130.27280000207753,0.0011601114339151643,0.0006071770786244147,0.0009727135213573985,0.001271100604180031,0.00013045850151723265
2.0743662379294424e-05,130.28280000207786,0.0010930578399590966,0.000572190300890495,0.0009157818707793967,0.0011964778321084744,0.00012280002307325943
1.958523833780823e-05,130.2928000020782,0.001033643297566111,0.0005411928541933659,0.0008654042928403791,0.0011304627455665003,0.0001160249216211575
1.842200051781322e-05,130.30280000207853,0.0009738382525070093,0.0005099714057183799,0.0008147393468144679,0.0010640896669570318,0.00010921304359461884
1.726280852731354e-05,130.31280000207886,0.0009140930249210151,0.0004787635996007491,0.0007641732471659392,0.0009978649253466372,0.00010241635423964138
1.6199759071907895e-05,130.3228000020792,0.0008591681851157224,0.0004500704314012975,0.0007177426383002118,0.0009370722780411647,9.617713961337664e-05
1.527533064891219e-05,130.33280000207952,0.0008112952804063785,0.00042506548721684014,0.0006773253385144653,0.0008841654175388789,9.074723560981823e-05
1.433537358542166e-05,130.34280000207983,0.000762512799800941,0.00039956931643612563,0.0006361707517876314,0.0008303071085475012,8.521965612491589e-05
1.3488900664818714e-05,130.3528000020802,0.0007184859967839956,0.00037655828904227897,0.0005990695086838196,0.0007817645072346958,8.023762136157904e-05
1.2716157973562071e-05,130.36280000208052,0.0006782122125634199,0.0003555071102326405,0.0005651647943206583,0.0007374138122948603,7.568579652723458e-05
1.1962507681994739e-05,130.37280000208085,0.0006388563439359441,0.0003349276722179158,0.0005320586499969337,0.0006941173604366924,7.124215383402156e-05
1.1230268035491069e-05,130.38280000208118,0.000600542644021675,0.0003148860158624212,0.0004998552474670172,0.0006520109245355983,6.692062921414528e-05
1.0565114010055084e-05,130.39280000208151,0.0005656721860780302,0.00029664444410092513,0.0004705738708881537,0.0006137329013351191,6.299201564508204e-05
9.941850323639712e-06,130.40280000208185,0.000532937841292383,0.000279517083610901,0.0004431090457542173,0.0005778367614079497,5.930785162208143e-05
